Country Name,Country Code,Series Name,Series Code,2016 [YR2016]
Ethiopia,ETH,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,177614664577.742
Faroe Islands,FRO,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,..
Fiji,FJI,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,8187660390.80853
Finland,FIN,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,238376056006.602
France,FRA,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,2765185411284.74
French Polynesia,PYF,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,..
Gabon,GAB,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,35777221393.5862
"Gambia, The",GMB,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,3418319100.23781
Georgia,GEO,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,37209842529.6829
Germany,DEU,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,4030399290332.84
Ghana,GHA,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,121154036528.302
Gibraltar,GIB,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,..
Greece,GRC,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,288418450083.695
Greenland,GRL,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,..
Grenada,GRD,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1523902172.01763
Guam,GUM,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,..
Guatemala,GTM,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,131775536412.462
Guinea,GIN,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,25325618839.6014
Guinea-Bissau,GNB,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,2934937461.41479
Guyana,GUY,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,6059895526.16827
Haiti,HTI,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,19350995075.4159
Honduras,HND,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,43308762339.6568
"Hong Kong SAR, China",HKG,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,430523559067.197
Hungary,HUN,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,262041834312.371
Iceland,ISL,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,17022081152.1598
India,IND,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,8705012643110.06
Indonesia,IDN,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,3031809763630.8
"Iran, Islamic Rep.",IRN,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1601439688263.97
Iraq,IRQ,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,651649889728.684
Ireland,IRL,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,339477467511.109
Isle of Man,IMN,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,..
Israel,ISR,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,318408778839.172
Italy,ITA,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,2326893826135.11
Jamaica,JAM,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,25417329794.0451
Japan,JPN,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,5369478818634.44
Jordan,JOR,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,85553911481.4611
Kazakhstan,KAZ,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,449948192451.365
Kenya,KEN,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,152950469070.363
Kiribati,KIR,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,241206174.90291
"Korea, Dem. People’s Rep.",PRK,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,..
"Korea, Rep.",KOR,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1877123308763.7
Kosovo,XKX,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,18513273149.1111
Kuwait,KWT,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,300961092607.996
Kyrgyz Republic,KGZ,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,21700887051.4112
Lao PDR,LAO,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,44264968375.1025
Latvia,LVA,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,50137279401.968
Lebanon,LBN,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,85947917515.3776
Lesotho,LSO,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,6503524021.40226
Liberia,LBR,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,3749533733.47231
Libya,LBY,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,97043022461.7507
Liechtenstein,LIE,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,..
Lithuania,LTU,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,85652028773.3589
Luxembourg,LUX,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,59592086209.6103
"Macao SAR, China",MAC,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,64534861874.0795
"Macedonia, FYR",MKD,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,30658994048.8974
Madagascar,MDG,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,37497126806.8843
Malawi,MWI,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,21145896467.1139
Malaysia,MYS,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,863344829725.188
Maldives,MDV,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,6565198141.02003
Mali,MLI,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,38251913405.7005
Malta,MLT,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,17013616188.198
Marshall Islands,MHL,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,213483384.107953
Mauritania,MRT,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,16569782527.0951
Mauritius,MUS,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,26662513430.3699
Mexico,MEX,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,2266350498748.13
"Micronesia, Fed. Sts.",FSM,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,368194046.098812
Moldova,MDA,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,19012817205.4849
Monaco,MCO,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,..
Mongolia,MNG,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,37092519479.7894
Montenegro,MNE,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,10973159880.9305
Morocco,MAR,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,281420173467.413
Mozambique,MOZ,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,35050520579.7557
Myanmar,MMR,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,302568418805.604
Namibia,NAM,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,26276073933.3885
Nauru,NRU,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,182248829.534125
Nepal,NPL,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,71816505211.0805
Netherlands,NLD,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,860688339002.733
New Caledonia,NCL,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,..
