Country Name,Country Code,Series Name,Series Code,2016 [YR2016]
Guam,GUM,GDP (current US$),NY.GDP.MKTP.CD,5793000000
Guatemala,GTM,GDP (current US$),NY.GDP.MKTP.CD,68663653469.1246
Guinea,GIN,GDP (current US$),NY.GDP.MKTP.CD,9275886117.43042
Guinea-Bissau,GNB,GDP (current US$),NY.GDP.MKTP.CD,1178204501.44059
Guyana,GUY,GDP (current US$),NY.GDP.MKTP.CD,3504024213.07506
Haiti,HTI,GDP (current US$),NY.GDP.MKTP.CD,7970649131.23416
Honduras,HND,GDP (current US$),NY.GDP.MKTP.CD,21643936938.9096
"Hong Kong SAR, China",HKG,GDP (current US$),NY.GDP.MKTP.CD,320881182123.855
Hungary,HUN,GDP (current US$),NY.GDP.MKTP.CD,125816640420.569
Iceland,ISL,GDP (current US$),NY.GDP.MKTP.CD,20304098101.4115
India,IND,GDP (current US$),NY.GDP.MKTP.CD,2274229710530.03
Indonesia,IDN,GDP (current US$),NY.GDP.MKTP.CD,932256495234.247
"Iran, Islamic Rep.",IRN,GDP (current US$),NY.GDP.MKTP.CD,418976711586.862
Iraq,IRQ,GDP (current US$),NY.GDP.MKTP.CD,171489001692.047
Ireland,IRL,GDP (current US$),NY.GDP.MKTP.CD,304819018067.107
Isle of Man,IMN,GDP (current US$),NY.GDP.MKTP.CD,..
Israel,ISR,GDP (current US$),NY.GDP.MKTP.CD,317747542489.389
Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,1859383610248.72
Jamaica,JAM,GDP (current US$),NY.GDP.MKTP.CD,14056908749.3505
Japan,JPN,GDP (current US$),NY.GDP.MKTP.CD,4949273341993.88
Jordan,JOR,GDP (current US$),NY.GDP.MKTP.CD,38654727746.4789
Kazakhstan,KAZ,GDP (current US$),NY.GDP.MKTP.CD,137278320084.171
Kenya,KEN,GDP (current US$),NY.GDP.MKTP.CD,70875289605.3804
Kiribati,KIR,GDP (current US$),NY.GDP.MKTP.CD,181551516.503122
"Korea, Dem. People’s Rep.",PRK,GDP (current US$),NY.GDP.MKTP.CD,..
"Korea, Rep.",KOR,GDP (current US$),NY.GDP.MKTP.CD,1414804158515.26
Kosovo,XKX,GDP (current US$),NY.GDP.MKTP.CD,6715486725.66372
Kuwait,KWT,GDP (current US$),NY.GDP.MKTP.CD,110912280701.754
Kyrgyz Republic,KGZ,GDP (current US$),NY.GDP.MKTP.CD,6813092065.83507
Lao PDR,LAO,GDP (current US$),NY.GDP.MKTP.CD,15805707154.2329
Latvia,LVA,GDP (current US$),NY.GDP.MKTP.CD,27571513793.3984
Lebanon,LBN,GDP (current US$),NY.GDP.MKTP.CD,49598825982.1559
Lesotho,LSO,GDP (current US$),NY.GDP.MKTP.CD,2291319971.844
Liberia,LBR,GDP (current US$),NY.GDP.MKTP.CD,2101000000
Libya,LBY,GDP (current US$),NY.GDP.MKTP.CD,32257171354.0794
Liechtenstein,LIE,GDP (current US$),NY.GDP.MKTP.CD,..
Lithuania,LTU,GDP (current US$),NY.GDP.MKTP.CD,42773029835.3222
Luxembourg,LUX,GDP (current US$),NY.GDP.MKTP.CD,58631324559.4484
"Macao SAR, China",MAC,GDP (current US$),NY.GDP.MKTP.CD,45310877912.7215
"Macedonia, FYR",MKD,GDP (current US$),NY.GDP.MKTP.CD,10745787406.4491
Madagascar,MDG,GDP (current US$),NY.GDP.MKTP.CD,10001193315.1966
Malawi,MWI,GDP (current US$),NY.GDP.MKTP.CD,5433038646.51677
Malaysia,MYS,GDP (current US$),NY.GDP.MKTP.CD,296535930381.12
