Country_Name,Country_Code,Series_Name,Series_Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,664.117560200257,600.408765541326,579.2520008971,582.420126498067,596.602467242029,711.99270010471,647.563353685906,720.598938487943,761.618457662551,862.509057657804,922.550169956192,844.691134306625,640.622297879065,430.381595278873,320.657792023357,388.166766342963,512.620965887672,506.884952193443,419.639845318854,385.768853472854,555.296941863334,526.168742996854,711.181789161759,779.468317011824,1041.087109209,1443.99192381072,2062.41521212341,2878.83730535623,3868.57901446005,3347.84490031366,3531.41687831962,4299.00813636005,4539.4676892715,4804.63382589612,4707.57809784664,3683.5526074127,3308.77282845577,4170.31228024945
Angola,AGO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,33.251,33.573,33.914,34.272,34.645,35.031,35.426,35.828,36.234,36.64,37.047,37.46,37.878,38.297,38.712,39.11,39.478,39.81,40.099,40.344,40.546,40.71,40.848,40.97,41.085,41.193,41.292,41.382,41.471,41.572,41.696,41.855,42.06,42.329,42.677,43.125,43.695,44.385,45.192,46.105,47.113,48.2,49.341,50.508,51.676,52.833,53.974,55.096,56.189,57.231,58.192,59.042,59.77,60.373,60.858,61.241,61.547,..
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1063.42011308049,1198.50708271962,1483.51597980311,1789.58956778188,2023.39994991844,2268.78997758801,2542.5272702175,2946.2403938049,3452.52251190745,4220.96162054598,4969.78188299583,5944.67089296938,6585.84024161042,6889.00494893358,7156.8534228733,7296.551772665,7652.102973745,8218.5974789469,7841.46403429469,8379.57673916578,8755.15649945473,9115.23453172274,9363.1866398544,9932.02978773184,9414.16061299198,9443.06370219244,9801.96706621506,10419.311195125,11452.7388020156,12812.7644704316,14350.9190458994,14797.3684231605,13082.2816597386,12174.6978594572,11931.2041070835,12517.5579290917,12194.6087607071,12946.9869363675,13659.1479142644,14462.1762794658,15021.7381833074
Antigua and Barbuda,ATG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.115,62.555,62.979,63.385,63.774,64.148,64.51,64.864,65.212,65.557,65.897,66.232,66.558,66.875,67.181,67.479,67.768,68.051,68.328,68.602,68.873,69.141,69.408,69.671,69.931,70.187,70.435,70.675,70.907,71.132,71.351,71.567,71.783,71.999,72.218,72.44,72.663,72.887,73.108,73.327,73.541,73.752,73.957,74.158,74.354,74.544,74.727,74.905,75.078,75.247,75.412,75.574,75.733,75.892,76.05,76.207,76.364,..
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,1148.57995706663,845.077184202247,1166.31739957616,1272.01049600796,1266.34498858151,1057.7556614712,1136.51783223167,1324.08293470701,1317.48775502669,1366.35472649443,1401.48779454318,2083.97221812887,2824.65091518844,2011.68904032488,1932.590782074,2112.50117336788,2129.31379311298,2501.48075287736,2738.28472318497,2756.39698132362,2907.75762701156,3530.13178314168,2643.36939813156,2909.51661013406,3595.08589823166,3546.71882015564,3969.32741166282,2375.33910272555,4318.77469950773,5715.50439657303,6798.02676272931,6940.35035806909,7449.48038977242,7373.42824568235,7683.57406483774,8172.66432306173,8248.76198864344,7736.36962254054,7669.27391554066,7170.69467365192,2579.19316821209,3330.43700583548,4251.57434819873,5076.8838291729,5878.76102735208,7193.61763973522,8953.35927526277,8161.30696648652,10276.2604977053,12726.9083594731,12969.7071238969,12976.6364245411,12245.2564487696,13698.2934384857,12654.3549989958,14401.9748546081
Argentina,ARG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,65.022,65.141,65.233,65.311,65.388,65.481,65.603,65.76,65.953,66.184,66.449,66.74,67.044,67.349,67.652,67.95,68.248,68.549,68.856,69.164,69.464,69.746,70.003,70.234,70.438,70.623,70.797,70.971,71.155,71.352,71.565,71.79,72.023,72.256,72.489,72.719,72.947,73.173,73.397,73.618,73.832,74.039,74.236,74.424,74.603,74.775,74.941,75.105,75.268,75.431,75.595,75.761,75.926,76.089,76.252,76.415,76.577,..
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,637.85574116163,590.122225741606,369.633368128684,357.204339871367,400.516091886143,456.375899754645,504.059514041494,523.283569096003,609.173025391007,597.433481734807,622.742747687983,694.430511932268,783.261609869997,930.166156701539,1191.96191990706,1643.75854298145,2158.00290895457,3138.80870341248,4010.02699722693,2993.83253109033,3218.38165488465,3526.97814267659,3684.80481032649,3843.5912130934,3994.71235479566,3617.93574555176,3605.74311684256,3936.79831965287
Armenia,ARM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,65.971,66.402,66.837,67.276,67.715,68.152,68.587,69.015,69.425,69.808,70.143,70.411,70.604,70.723,70.774,70.783,70.783,70.798,70.838,70.897,70.938,70.91,70.776,70.519,70.15,69.698,69.205,68.732,68.332,68.038,67.879,67.87,67.99,68.218,68.538,68.938,69.404,69.912,70.434,70.944,71.409,71.8,72.112,72.347,72.512,72.625,72.715,72.815,72.946,73.119,73.331,73.571,73.814,74.044,74.255,74.445,74.618,..
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17342.4719395745,16441.7906361916,16585.1955307263,17926.5728361165,19081.351656125,19356.2033894901,20620.7006259175,20670.6556635493,20434.2994364477,20834.5101990131,22567.8249248908,23302.8319880055,24014.9442670501,25921.026051998,27546.8993898034,24631.4348604167,24271.9404205267,25324.7203624669,..,..,..,..,..,..
Aruba,ABW,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,65.662,66.074,66.444,66.787,67.113,67.435,67.762,68.095,68.436,68.784,69.14,69.498,69.851,70.191,70.519,70.833,71.14,71.441,71.736,72.023,72.293,72.538,72.751,72.929,73.071,73.181,73.262,73.325,73.378,73.425,73.468,73.509,73.544,73.573,73.598,73.622,73.646,73.671,73.7,73.738,73.787,73.853,73.937,74.038,74.156,74.287,74.429,74.576,74.725,74.872,75.016,75.158,75.299,75.44,75.582,75.725,75.867,..
